segment_id,street,start_latitude,start_longitude,end_latitude,end_longitude,street_norm,geometry
502,Archer,41.819862,-87.69449,41.82588,-87.6849,ARCHER,"LINESTRING (442322.02299071086 4630009.154282445, 443123.8231377033 4630670.670699825)"
503,Archer,41.82588,-87.6849,41.831688,-87.67537,ARCHER,"LINESTRING (443123.8231377033 4630670.670699825, 443920.2266903433 4631309.445515008)"
505,Archer,41.837563,-87.66578,41.847046,-87.64652,ARCHER,"LINESTRING (444721.6110009467 4631955.469246913, 446328.38324667636 4632996.15814861)"
513,Archer,41.80246,-87.72348,41.800297,-87.73317,ARCHER,"LINESTRING (439897.9526733745 4628096.872129406, 439090.97254590516 4627863.550896324)"
516,Archer,41.820137,-87.69448,41.814262,-87.704254,ARCHER,"LINESTRING (442322.9030955447 4630039.6434401125, 441505.87761400157 4629394.011503644)"
517,Archer,41.826153,-87.68489,41.820137,-87.69448,ARCHER,"LINESTRING (443124.69980790874 4630701.159952765, 442322.9030955447 4630039.6434401125)"
518,Archer,41.831963,-87.67537,41.826153,-87.68489,ARCHER,"LINESTRING (443920.46643499186 4631339.939842486, 443124.69980790874 4630701.159952765)"
519,Archer,41.837837,-87.66578,41.831963,-87.67537,ARCHER,"LINESTRING (444721.84736820235 4631985.963598555, 443920.46643499186 4631339.939842486)"
520,Archer,41.84732,-87.64652,41.837837,-87.66578,ARCHER,"LINESTRING (446328.6128195034 4633026.652536971, 444721.84736820235 4631985.963598555)"
612,Lake Shore Dr,41.867466,-87.61904,41.857964,-87.61678,LAKE SHORE,"LINESTRING (448626.10431493475 4635246.523890903, 448805.9407018989 4634190.1515800385)"
615,Lake Shore Dr,41.88092,-87.61767,41.873257,-87.61749,LAKE SHORE,"LINESTRING (448750.8230758043 4636739.510486439, 448759.26108069206 4635888.523709697)"
737,Milwaukee,41.92479,-87.700226,41.93195,-87.71207,MILWAUKEE,"LINESTRING (441940.56734977505 4641662.78969826, 440965.37890563963 4642465.8589566)"
765,Harlem,41.908836,-87.80557,41.91617,-87.80581,HARLEM,"LINESTRING (433189.01949089236 4639968.24225225, 433177.0522416636 4640782.46957714)"
797,Stony Island,41.722347,-87.58495,41.72961,-87.58507,STONY ISLAND,"LINESTRING (451345.43820902414 4619114.802914269, 451341.40004251245 4619921.256823121)"
803,Stony Island,41.766087,-87.585915,41.77335,-87.58604,STONY ISLAND,"LINESTRING (451298.5444935461 4623971.485393777, 451293.8924414898 4624777.94985301)"
804,Stony Island,41.77335,-87.58604,41.78065,-87.58626,STONY ISLAND,"LINESTRING (451293.8924414898 4624777.94985301, 451281.0301094354 4625588.706809003)"
807,Stony Island,41.722347,-87.58532,41.70777,-87.5861,STONY ISLAND,"LINESTRING (451314.97782106197 4619115.009950913, 451239.23367718345 4617497.169096786)"
808,Stony Island,41.729614,-87.585434,41.722347,-87.58532,STONY ISLAND,"LINESTRING (451310.9459658223 4619921.887430393, 451314.97782106197 4619115.009950913)"
809,Stony Island,41.736916,-87.5856,41.729614,-87.585434,STONY ISLAND,"LINESTRING (451302.50184056535 4620732.607877868, 451310.9459658223 4619921.887430393)"
810,Stony Island,41.744217,-87.58578,41.736916,-87.5856,STONY ISLAND,"LINESTRING (451293.42729602766 4621543.333699404, 451302.50184056535 4620732.607877868)"
811,Stony Island,41.751522,-87.585945,41.744217,-87.58578,STONY ISLAND,"LINESTRING (451284.9940413314 4622354.479785322, 451293.42729602766 4621543.333699404)"
815,Stony Island,41.780655,-87.586624,41.773354,-87.5864,STONY ISLAND,"LINESTRING (451250.6001640411 4625589.337883844, 451263.45904242044 4624778.580842945)"
825,Milwaukee,41.967842,-87.76059,41.975655,-87.767555,MILWAUKEE,"LINESTRING (436977.8744402011 4646485.513590253, 436408.4727153081 4647358.0779546015)"
889,Lake Shore Dr,41.926086,-87.63139,41.91133,-87.62615,LAKE SHORE,"LINESTRING (447648.91297262977 4641762.477577544, 448071.53626614605 4640121.0449903095)"
911,Michigan,41.89257,-87.624,41.90083,-87.62394,MICHIGAN,"LINESTRING (448234.81472314225 4638036.78982678, 448246.546497746 4638953.709714089)"
912,Michigan,41.845642,-87.62391,41.838345,-87.623634,MICHIGAN,"LINESTRING (448204.54042353336 4632826.412345684, 448221.45894036756 4632016.028903031)"
